Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01_AUS,6.68,6.14,6.80,7.85,8.42,8.46,8.42,8.83,8.94,8.17,7.13,7.03,7.53,7.54,7.41,7.76,7.88,7.94,7.63,5.25,7.30,6.40,4.89,4.69,4.61,4.93,5.26,5.33,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_BD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,12.28,12.99,13.83,14.39,13.88,14.42,14.74,15.55,15.93,16.24,16.60,15.28,16.00,15.93,16.31,15.33,15.49,15.57,14.95,9.29,13.01,12.89,13.51,12.42,12.73,12.47,12.65,13.21,13.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_CHL,0.77,0.81,1.01,1.07,1.04,1.01,1.18,1.17,1.17,1.29,1.35,1.25,1.28,1.38,1.58,1.54,1.61,1.68,1.55,1.31,1.01,1.62,1.67,1.32,1.08,1.11,1.15,1.16,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_PRC,66.35,71.00,80.94,89.56,92.61,95.36,101.24,108.91,114.59,123.95,128.50,151.63,182.25,222.34,272.80,355.79,421.02,489.71,512.34,577.07,638.74,701.97,731.04,822.00,822.31,803.83,807.61,870.85,928.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06_HKC,0.15,0.15,0.15,0.15,0.15,0.15,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,2.89,3.09,2.95,3.80,3.22,4.13,4.11,3.82,2.70,2.89,2.85,2.78,2.46,2.04,3.68,3.68,3.76,4.16,3.92,3.50,3.66,3.62,2.25,2.64,4.43,4.85,4.75,5.20,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08_JPN,110.34,109.65,98.13,99.62,98.30,101.64,98.80,104.55,93.55,94.19,106.44,102.87,107.75,110.51,112.72,112.47,116.23,120.20,118.74,87.53,109.60,107.60,107.23,110.60,110.67,105.13,104.78,104.66,104.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09_ROK,23.13,26.00,28.06,33.03,33.75,36.77,38.90,42.55,39.90,41.04,43.11,43.85,45.39,46.31,47.52,47.82,48.46,51.52,53.63,48.57,58.91,68.52,69.07,66.06,71.54,69.67,68.58,71.03,72.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_MAS,1.10,1.13,1.56,1.81,2.05,2.45,3.22,2.96,1.90,2.77,3.65,4.10,4.72,3.96,5.70,5.30,5.83,6.90,6.42,5.35,5.69,5.94,5.61,4.69,4.32,3.78,2.76,3.21,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
