Economy,Year,GDP,Population,GDPpercap,lnGDPpercap
AUS,2019,72.82510180518581,25203.2,0.002889518069339838,-5.846665548777357
BD,2019,3.78586420045704,433.296,0.008737362450742771,-4.740146913950382
CDA,2019,189.88503029347302,37411.038,0.005075641854510239,-5.283302288256301
CHL,2019,46.2847349653561,18952.035,0.0024422039620207595,-6.0148543842504125
PRC,2019,6524.371944176831,1433783.69199999,0.004550457632194129,-5.392527472572753
HKC,2019,4.4000676846879,7436.15699999999,0.0005917125855045698,-7.432489538430816
INA,2019,634.7284028867659,270625.567,0.0023454118172314665,-6.055294277478328
JPN,2019,1088.2287730143498,126860.299,0.008578166546922216,-4.758535077486955
KOR,2019,566.028121485131,51225.321,0.011049772074344462,-4.505345477987267
MAS,2019,195.268732067962,31949.789,0.00611173776665511,-5.097544132708652
MEX,2019,436.57771520305914,127575.529,0.0034221117374560067,-5.677497451369592
NZ,2019,20.598051453736698,4783.062,0.004306457130126413,-5.44763972447485
PNG,2019,0.744153871332787,8776.119,8.479304705562754e-05,-9.37529701079651
PE,2019,54.0763324372092,32510.462000000003,0.0016633517062048886,-6.398920612133262
RP,2019,174.81541092274395,108116.622,0.0016169152133031306,-6.427235134330163
RUS,2019,488.17375707547995,145872.26,0.0033465839020762407,-5.699815184147773
SIN,2019,114.042222245509,5804.343000000002,0.019647740019070024,-3.9297929590333873
CT,2019,431.833339133033,23773.881,0.018164192002687023,-4.008303095295417
THA,2019,345.26651829440993,69625.5809999999,0.00495890322688166,-5.3065706863093
USA,2019,2288.38922314448,329064.917,0.006954218164631874,-4.968406873350198
VN,2019,124.05980038411,96462.108,0.001286098790046243,-6.656141836485582
AUS,2020,67.63035778509679,25499.881,0.0026521832703884692,-5.9323721025649405
BD,2020,3.80964604167724,437.483,0.008708100752891518,-4.743501565523863
CDA,2020,178.24849876853798,37742.157,0.004722795752466876,-5.355354334299286
CHL,2020,43.97343988218571,19116.209,0.0023003221968427795,-6.074706080274285
PRC,2020,6568.86578558584,1439323.774,0.00456385554400343,-5.389587498665638
HKC,2020,4.15279489536362,7496.988,0.0005539284437114771,-7.498475042534919
INA,2020,635.003791014514,273523.62100000004,0.002321568384817902,-6.065512293769122
JPN,2020,1030.70991949419,126476.458,0.00814942113175078,-4.8098083810309324
KOR,2020,560.477742077932,51269.183,0.010932059168524922,-4.5160555985155835
MAS,2020,190.63076257337798,32365.998,0.005889846578294233,-5.1345253294856965
MEX,2020,407.516568200483,128932.753,0.003160690815315818,-5.75696466283382
NZ,2020,19.196401858265,4822.233,0.003980811764646171,-5.526269519516626
PNG,2020,0.7491247578047271,8947.027,8.372890322167655e-05,-9.387926320822421
PE,2020,51.5452421391766,32971.846,0.0015633107754772543,-6.460949414628409
RP,2020,174.939347429863,109581.085,0.0015964374456582811,-6.43998072875166
RUS,2020,463.003108587427,145934.46,0.003172678396777752,-5.753179127717854
SIN,2020,108.89332870711004,5850.343000000002,0.01861315288814861,-3.983886803647744
CT,2020,415.439122544979,23816.775,0.01744313084139137,-4.048809355891238
THA,2020,320.01126875432595,69799.978,0.0045846901091333575,-5.385032763533156
USA,2020,2142.33985404314,331002.647,0.006472274084391657,-5.040227750865596
VN,2020,127.506900365958,97338.583,0.0013099317499409048,-6.637780242408044
AUS,2021,71.4226581972119,25788.217,0.002769584969647646,-5.889057800460707
BD,2021,3.91683363834269,441.532,0.008871007397748498,-4.724966915519055
CDA,2021,185.87711098267602,38067.913,0.004882776499533242,-5.3220412660881244
CHL,2021,46.064684267520704,19212.362,0.002397658563143912,-6.033262616524425
PRC,2021,7136.482270488829,1444216.102,0.004941422727946313,-5.310101987638243
HKC,2021,4.277600340113599,7552.8,0.0005663595408475796,-7.476281450255546
INA,2021,683.952439057474,276361.788,0.0024748444566347716,-6.001577730740497
JPN,2021,1060.67319639822,126050.796,0.008414648935641944,-4.777781171087587
KOR,2021,580.821021863358,51305.184,0.011320903202751559,-4.481104421161075
MAS,2021,206.36034452256297,32776.195,0.006296043348612094,-5.0678338827871645
MEX,2021,419.48779087487503,130262.22,0.0032203335001881207,-5.738270353301982
NZ,2021,20.4155700758925,4860.642,0.004200179744958074,-5.472627958189966
PNG,2021,0.78383695554724,9119.005,8.595641251948431e-05,-9.361670221361885
PE,2021,54.2259511602765,33359.416,0.0016255066083973565,-6.421935752773422
RP,2021,187.24471975219106,111046.91,0.001686176767567788,-6.385291580552002
RUS,2021,480.9522113936129,145912.022,0.0032961794703496943,-5.7149912174617
SIN,2021,110.980528207946,5896.684,0.01882083696666567,-3.972790673621112
CT,2021,430.89130749328797,23855.007999999903,0.01806292865184911,-4.013893581800814
THA,2021,337.294933869902,69950.844,0.0048218851207842755,-5.33459032348367
USA,2021,2232.01720925878,332915.074,0.006704464242008999,-5.004981669690227
VN,2021,136.536772593574,98168.829,0.0013908363172344044,-6.577850045693491
AUS,2022,72.98349460096259,26068.793,0.00279964993396367,-5.878260893201483
BD,2022,4.00149753954029,445.429,0.00898346883462974,-4.712369186776744
CDA,2022,188.88618760498198,38388.416,0.00492039545484195,-5.314366374707582
CHL,2022,46.985700837448704,19250.192,0.0024407912834037556,-6.015432995772814
PRC,2022,7429.726444650751,1448471.404,0.005129356661190082,-5.272775034839019
HKC,2022,4.345219093415712,7604.306,0.000571415602346317,-7.467393763069061
INA,2022,712.248866149888,279134.505,0.0025516331854060392,-5.971021659956781
JPN,2022,1066.08120923127,125584.839,0.008488932403944634,-4.768992034039888
KOR,2022,600.2560164869288,51329.905,0.011694080019959687,-4.448672546430137
MAS,2022,213.948029956732,33181.079,0.006447892485857136,-5.044001947946423
MEX,2022,430.20489669325804,131562.775,0.003269959125544882,-5.722977793984468
NZ,2022,21.09028457227781,4898.201,0.004305720523163057,-5.447810786195777
PNG,2022,0.842751934745232,9292.172,9.069482729605436e-05,-9.308010233384014
PE,2022,56.22238021894171,33684.218,0.0016691015424179273,-6.395469795878761
RP,2022,197.512494587392,112508.991,0.0017555263168913498,-6.3449865713594376
RUS,2022,491.51903733388,145805.94400000002,0.0033710493814564924,-5.692531193933179
SIN,2022,113.74526901318899,5943.55099999999,0.01913759451432135,-3.9561005793131376
CT,2022,442.136252146776,23888.6,0.0185082529803662,-3.989538539327201
THA,2022,347.562504890714,70078.198,0.004959638158656905,-5.306422492790108
USA,2022,2257.81750794202,334805.268,0.006743673782164085,-4.999150431017755
VN,2022,143.47330373259697,98953.535,0.0014499057939930794,-6.536256694320219
AUS,2023,74.53847893619451,26343.073,0.0028295286178721254,-5.867645147323592
BD,2023,4.06654838558503,449.169,0.009053492973880722,-4.704604631770513
CDA,2023,192.01186168007,38704.479,0.004960972648154495,-5.3061534590518376
CHL,2023,47.88061167150129,19249.347,0.002487388879815055,-5.996521761360458
