Economy,Year,GDP,SteelProduction,Population
AUS,1990,73.8771369528662,6.68,16960.6
BD,1990,2.05208203424472,1.0,258.714
CDA,1990,144.46536982276,12.28,27541.322999999997
CHL,1990,23.4531839002217,0.77,13274.617
PRC,1990,512.4518333319611,66.35,1176883.6809999999
HKC,1990,7.546474691442251,0.15,5727.94199999999
INA,1990,163.54534475148,2.89,181413.39800000002
JPN,1990,930.5021308558361,110.34,124505.243
KOR,1990,131.671418889771,23.13,42918.416
MAS,1990,45.02202339235951,1.1,18029.824
MEX,1990,240.48530815235299,8.73,83943.135
NZ,1990,16.1654415392617,0.72,3398.175
PNG,1990,1.01016789365046,1.0,4615.843
PE,1990,18.705569288609503,0.27,22071.432999999997
RP,1990,63.089033281983795,0.6,61895.169
RUS,1990,489.241025199928,67.03,147531.562
SIN,1990,27.801558752989397,0.49,3012.968
CT,1990,49.2231369746331,9.75,20478.516
THA,1990,109.25662550147601,0.69,56558.195999999996
USA,1990,1626.3943182114099,89.73,252120.30899999998
VN,1990,13.9426996517081,0.1,67988.855
AUS,1991,67.05621310472829,6.14,17189.235
BD,1991,2.36968393923605,1.0,266.20799999999997
CDA,1991,141.45169872428298,12.99,27888.813
CHL,1991,26.054358276472907,0.81,13495.255
PRC,1991,560.07949574167,71.0,1192897.277
HKC,1991,7.976771047541421,0.15,5800.04
INA,1991,184.19642927074298,3.09,184591.897
JPN,1991,962.302011045954,109.65,124929.76400000001
KOR,1991,145.86134598993598,26.0,43373.148
MAS,1991,52.017545470986605,1.13,18519.941000000003
MEX,1991,247.65744520185902,7.96,85512.621
NZ,1991,16.0559118442742,0.81,3446.171
PNG,1991,1.18092980379377,1.0,4725.543
PE,1991,19.1206943377758,0.4,22522.382999999998
RP,1991,63.94847417796711,0.61,63454.785
RUS,1991,464.54932688712495,67.03,147995.584
SIN,1991,30.944103421427805,0.51,3101.1440000000002
CT,1991,52.05551855444681,10.97,20679.072
THA,1991,123.130485534221,0.71,57232.471
USA,1991,1624.6335982742098,79.74,254539.371
VN,1991,15.794948516719996,0.18,69436.9559999999
AUS,1992,67.3919813267953,6.8,17402.179
BD,1992,2.56788140681116,1.0,273.888
CDA,1992,142.725131178058,13.83,28224.41
CHL,1992,28.828199929526004,1.01,13719.818000000001
PRC,1992,639.7013130525601,80.94,1206711.243
HKC,1992,8.47411507181957,0.15,5864.745
INA,1992,203.65311166719002,2.95,187739.78600000002
JPN,1992,970.463001681801,98.13,125331.3
KOR,1992,149.91257318469195,28.06,43848.223
MAS,1992,57.2439536498313,1.56,19002.66
MEX,1992,251.40357479004,8.46,87075.136
NZ,1992,16.2757277182711,0.76,3503.1940000000004
PNG,1992,1.2982666679393795,1.0,4836.215999999989
PE,1992,19.0212007029306,0.34,22966.822
RP,1992,61.2927802508679,0.5,65020.124
RUS,1992,397.045321481443,67.03,148268.576
SIN,1992,31.559760183215502,0.48,3199.6420000000003
CT,1992,54.295805330880306,10.71,20868.148
THA,1992,129.67213146838094,0.93,57811.025
