Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
AUS,1990,73.8771369528662,6.68,16960.6,0.004355809166707912,0.00039385399101446884,-5.436244884166783,-7.839530298530066
BD,1990,2.05208203424472,1.0,258.714,0.007931855385656439,0.0038652720765014648,-4.836868300253718,-5.555723204465259
CDA,1990,144.46536982276,12.28,27541.323,0.005245404144991873,0.0004458754577621416,-5.25040298671971,-7.715470887625489
CHL,1990,23.4531839002217,0.77,13274.617,0.00176676915802706,5.800544000629171e-05,-6.338602734797335,-9.754973758604237
PRC,1990,512.4518333319611,66.35,1176883.681,0.0004354311658876346,5.6377704161572095e-05,-7.739173831827442,-9.783436793902524
HKC,1990,7.546474691442251,0.15,5727.94199999999,0.0013174844807161566,2.6187416003863212e-05,-6.6320310569607095,-10.550231567776772
INA,1990,163.54534475148,2.89,181413.398,0.0009015064298144067,1.5930466172074018e-05,-7.011443382995359,-11.047277170686813
JPN,1990,930.5021308558361,110.34,124505.243,0.0074735979661180695,0.0008862277390197938,-4.896378740358665,-7.02853659860571
KOR,1990,131.671418889771,23.13,42918.416,0.0030679468433730405,0.0005389294889168323,-5.786746721776822,-7.52592581394886
MAS,1990,45.02202339235951,1.1,18029.824,0.0024970861275384333,6.101002427977112e-05,-5.9926307758730895,-9.704472374836797
MEX,1990,240.48530815235299,8.73,83943.135,0.0028648597428765675,0.00010399897502041115,-5.855235885379733,-9.171129514444438
NZ,1990,16.1654415392617,0.72,3398.175,0.004757095069930683,0.00021187843474806327,-5.348118076461423,-8.45949786876066
PNG,1990,1.01016789365046,1.0,4615.843,0.00021884797503954532,0.00021664515019250005,-8.427133247102434,-8.437249795477793
PE,1990,18.705569288609503,0.27,22071.433,0.0008475013511179588,1.223300725421861e-05,-7.0732181244714605,-11.311372746895616
RP,1990,63.089033281983795,0.6,61895.169,0.0010192884889284944,9.693809867455083e-06,-6.888650454968072,-11.54402303415874
RUS,1990,489.241025199928,67.03,147531.562,0.0033161787116436007,0.0004543434577070363,-5.708942149420773,-7.696657131162779
SIN,1990,27.801558752989397,0.49,3012.968,0.009227299710116203,0.00016263033659833095,-4.685588829053895,-8.72403080630749
