Economy,Year,SteelProduction
AUS,1990,6.68
BD,1990,1.0
CDA,1990,12.28
CHL,1990,0.77
PRC,1990,66.35
HKC,1990,0.15
INA,1990,2.89
JPN,1990,110.34
KOR,1990,23.13
MAS,1990,1.1
MEX,1990,8.73
NZ,1990,0.72
PNG,1990,1.0
PE,1990,0.27
RP,1990,0.6
RUS,1990,67.03
SIN,1990,0.49
CT,1990,9.75
THA,1990,0.69
USA,1990,89.73
VN,1990,0.1
AUS,1991,6.14
BD,1991,1.0
CDA,1991,12.99
CHL,1991,0.81
PRC,1991,71.0
HKC,1991,0.15
INA,1991,3.09
JPN,1991,109.65
KOR,1991,26.0
MAS,1991,1.13
MEX,1991,7.96
NZ,1991,0.81
PNG,1991,1.0
PE,1991,0.4
RP,1991,0.61
RUS,1991,67.03
SIN,1991,0.51
CT,1991,10.97
THA,1991,0.71
USA,1991,79.74
VN,1991,0.18
AUS,1992,6.8
BD,1992,1.0
CDA,1992,13.83
CHL,1992,1.01
PRC,1992,80.94
HKC,1992,0.15
INA,1992,2.95
JPN,1992,98.13
KOR,1992,28.06
MAS,1992,1.56
MEX,1992,8.46
NZ,1992,0.76
PNG,1992,1.0
PE,1992,0.34
RP,1992,0.5
RUS,1992,67.03
SIN,1992,0.48
CT,1992,10.71
THA,1992,0.93
USA,1992,84.32
VN,1992,0.22
AUS,1993,7.85
BD,1993,1.0
CDA,1993,14.39
CHL,1993,1.07
PRC,1993,89.56
HKC,1993,0.15
INA,1993,3.8
JPN,1993,99.62
KOR,1993,33.03
MAS,1993,1.81
MEX,1993,9.2
NZ,1993,0.85
PNG,1993,1.0
PE,1993,0.42
RP,1993,0.62
RUS,1993,58.35
SIN,1993,0.52
CT,1993,11.97
THA,1993,0.95
USA,1993,88.79
VN,1993,0.27
AUS,1994,8.42
BD,1994,1.0
CDA,1994,13.88
CHL,1994,1.04
PRC,1994,92.61
HKC,1994,0.15
INA,1994,3.22
JPN,1994,98.3
KOR,1994,33.75
MAS,1994,2.05
MEX,1994,10.26
NZ,1994,0.77
PNG,1994,1.0
PE,1994,0.51
RP,1994,0.47
RUS,1994,48.81
SIN,1994,0.53
CT,1994,11.59
THA,1994,1.46
USA,1994,91.24
VN,1994,0.3
AUS,1995,8.46
BD,1995,1.0
CDA,1995,14.42
CHL,1995,1.01
PRC,1995,95.36
HKC,1995,0.15
INA,1995,4.13
JPN,1995,101.64
KOR,1995,36.77
MAS,1995,2.45
MEX,1995,12.15
NZ,1995,0.84
PNG,1995,1.0
PE,1995,0.51
RP,1995,0.92
RUS,1995,51.59
SIN,1995,0.52
CT,1995,11.61
THA,1995,2.13
USA,1995,95.19
VN,1995,0.27
AUS,1996,8.42
BD,1996,1.0
CDA,1996,14.74
CHL,1996,1.18
PRC,1996,101.24
HKC,1996,0.1
INA,1996,4.11
JPN,1996,98.8
KOR,1996,38.9
MAS,1996,3.22
MEX,1996,13.2
NZ,1996,0.81
PNG,1996,1.0
PE,1996,0.58
RP,1996,0.92
RUS,1996,49.25
SIN,1996,0.53
CT,1996,12.42
THA,1996,2.13
USA,1996,95.54
VN,1996,0.31
AUS,1997,8.83
BD,1997,1.0
CDA,1997,15.55
CHL,1997,1.17
PRC,1997,108.91
HKC,1997,1.0
INA,1997,3.82
JPN,1997,104.55
KOR,1997,42.55
MAS,1997,2.96
MEX,1997,14.25
NZ,1997,0.76
PNG,1997,1.0
PE,1997,0.61
RP,1997,0.98
RUS,1997,48.5
SIN,1997,0.38
CT,1997,16.06
THA,1997,2.1
USA,1997,98.49
VN,1997,0.31
AUS,1998,8.94
BD,1998,1.0
CDA,1998,15.93
CHL,1998,1.17
PRC,1998,114.59
HKC,1998,1.0
INA,1998,2.7
JPN,1998,93.55
KOR,1998,39.9
MAS,1998,1.9
MEX,1998,14.22
NZ,1998,0.76
PNG,1998,1.0
PE,1998,0.63
RP,1998,0.88
RUS,1998,43.82
SIN,1998,0.5
CT,1998,16.97
THA,1998,1.81
USA,1998,98.66
VN,1998,0.31
AUS,1999,8.17
BD,1999,1.0
CDA,1999,16.24
CHL,1999,1.29
PRC,1999,123.95
HKC,1999,1.0
INA,1999,2.89
JPN,1999,94.19
KOR,1999,41.04
MAS,1999,2.77
MEX,1999,15.27
NZ,1999,0.78
PNG,1999,1.0
PE,1999,0.56
RP,1999,0.53
RUS,1999,51.51
SIN,1999,0.59
CT,1999,15.44
THA,1999,1.53
USA,1999,97.43
VN,1999,0.31
AUS,2000,7.13
BD,2000,1.0
CDA,2000,16.6
CHL,2000,1.35
PRC,2000,128.5
HKC,2000,1.0
INA,2000,2.85
JPN,2000,106.44
KOR,2000,43.11
MAS,2000,3.65
MEX,2000,15.63
NZ,2000,0.7
PNG,2000,1.0
PE,2000,0.75
RP,2000,0.43
RUS,2000,59.14
SIN,2000,0.6
CT,2000,16.9
THA,2000,2.1
USA,2000,101.82
VN,2000,0.31
AUS,2001,7.03
BD,2001,1.0
CDA,2001,15.28
CHL,2001,1.25
PRC,2001,151.63
HKC,2001,1.0
INA,2001,2.78
JPN,2001,102.87
KOR,2001,43.85
MAS,2001,4.1
MEX,2001,13.3
NZ,2001,0.83
PNG,2001,1.0
PE,2001,0.69
RP,2001,0.5
RUS,2001,58.97
SIN,2001,0.46
CT,2001,17.26
THA,2001,2.13
USA,2001,90.1
VN,2001,0.32
AUS,2002,7.53
BD,2002,1.0
CDA,2002,16.0
CHL,2002,1.28
PRC,2002,182.25
HKC,2002,1.0
INA,2002,2.46
JPN,2002,107.75
KOR,2002,45.39
MAS,2002,4.72
MEX,2002,14.01
NZ,2002,0.77
PNG,2002,1.0
PE,2002,0.61
RP,2002,0.55
RUS,2002,59.78
SIN,2002,0.46
CT,2002,18.23
THA,2002,2.54
USA,2002,91.59
VN,2002,0.41
AUS,2003,7.54
BD,2003,1.0
CDA,2003,15.93
CHL,2003,1.38
PRC,2003,222.34
HKC,2003,1.0
INA,2003,2.04
JPN,2003,110.51
KOR,2003,46.31
MAS,2003,3.96
MEX,2003,15.16
NZ,2003,0.85
PNG,2003,1.0
PE,2003,0.67
RP,2003,0.5
RUS,2003,61.45
SIN,2003,0.56
CT,2003,18.83
THA,2003,3.55
USA,2003,93.68
VN,2003,0.54
AUS,2004,7.41
BD,2004,1.0
CDA,2004,16.31
CHL,2004,1.58
PRC,2004,272.8
HKC,2004,1.0
INA,2004,3.68
JPN,2004,112.72
KOR,2004,47.52
MAS,2004,5.7
MEX,2004,16.74
NZ,2004,0.89
PNG,2004,1.0
PE,2004,0.73
RP,2004,0.4
RUS,2004,65.58
SIN,2004,0.61
CT,2004,19.6
THA,2004,4.53
USA,2004,99.68
VN,2004,0.69
AUS,2005,7.76
BD,2005,1.0
CDA,2005,15.33
CHL,2005,1.54
PRC,2005,355.79
HKC,2005,1.0
INA,2005,3.68
JPN,2005,112.47
KOR,2005,47.82
MAS,2005,5.3
MEX,2005,16.2
NZ,2005,0.89
PNG,2005,1.0
PE,2005,0.79
RP,2005,0.47
RUS,2005,66.15
SIN,2005,0.57
CT,2005,18.94
THA,2005,5.16
USA,2005,94.9
VN,2005,0.89
AUS,2006,7.88
BD,2006,1.0
CDA,2006,15.49
CHL,2006,1.61
PRC,2006,421.02
HKC,2006,1.0
INA,2006,3.76
JPN,2006,116.23
KOR,2006,48.46
MAS,2006,5.83
MEX,2006,16.45
NZ,2006,0.81
PNG,2006,1.0
PE,2006,0.9
RP,2006,0.56
RUS,2006,70.83
SIN,2006,0.61
CT,2006,20.0
THA,2006,4.91
USA,2006,98.19
VN,2006,1.87
AUS,2007,7.94
BD,2007,1.0
CDA,2007,15.57
CHL,2007,1.68
PRC,2007,489.71
HKC,2007,1.0
INA,2007,4.16
JPN,2007,120.2
KOR,2007,51.52
MAS,2007,6.9
MEX,2007,17.57
NZ,2007,0.85
PNG,2007,1.0
PE,2007,0.88
RP,2007,0.72
RUS,2007,72.39
SIN,2007,0.64
CT,2007,20.9
THA,2007,5.57
USA,2007,98.1
VN,2007,2.02
AUS,2008,7.63
BD,2008,1.0
CDA,2008,14.95
CHL,2008,1.55
PRC,2008,512.34
HKC,2008,1.0
INA,2008,3.92
JPN,2008,118.74
KOR,2008,53.63
MAS,2008,6.42
MEX,2008,17.21
NZ,2008,0.8
PNG,2008,1.0
PE,2008,1.1
RP,2008,0.71
RUS,2008,68.51
SIN,2008,0.76
CT,2008,19.88
THA,2008,5.21
USA,2008,91.9
VN,2008,2.25
AUS,2009,5.25
BD,2009,1.0
CDA,2009,9.29
