Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
AUS,0.00019614266410539053,2019,25203.2,4.943422791980979
AUS,0.00017509370208032768,2020,25499.881,4.464868566897809
AUS,0.00018193543028474074,2021,25788.217,4.691790356171266
AUS,0.0001819461840187591,2022,26068.792999999998,4.743117408324939
AUS,0.00018191814592760988,2023,26343.072999999997,4.792282998195679
AUS,0.00018192775223900478,2024,26612.912,4.8416272606944375
AUS,0.00018199259326329089,2025,26879.752999999997,4.891915954746723
AUS,0.0001821106012722632,2026,27144.224,4.943250953708997
AUS,0.00018226212605369665,2027,27406.327,4.99513542634283
AUS,0.00018245244103467302,2028,27666.064,5.047740910621489
AUS,0.00018269168165459094,2029,27923.172000000002,5.1013312498103875
AUS,0.000182990005794962,2030,28177.48,5.156197228487426
AUS,0.0001833523649897214,2031,28429.245,5.212569305622212
AUS,0.0001838042633097711,2032,28678.759,5.271278170633467
AUS,0.00018435030508615313,2033,28925.692000000003,5.332460145028099
AUS,0.00018499307145322875,2034,29169.6,5.396173897062101
AUS,0.00018573227945390972,2035,29410.247000000003,5.462432214612511
AUS,0.00018656564102327022,2036,29647.564,5.531216782438429
AUS,0.0001874632694220195,2037,29881.87,5.601753046643761
AUS,0.00018841510242357802,2038,30113.683999999997,5.673872855211262
AUS,0.00018940982095953525,2039,30343.71,5.747396678348059
AUS,0.00019043840294407968,2040,30572.49,5.822176169623847
AUS,0.0001914966288690048,2041,30800.208,5.898136000464152
AUS,0.00019260643584398705,2042,31026.902000000002,5.975981009500674
AUS,0.00019376599693729586,2043,31252.712000000003,6.05571289767419
AUS,0.00019497398805773373,2044,31477.766,6.137345572168137
AUS,0.0001962290060098264,2045,31702.144,6.220880205500381
AUS,0.0001975286145868005,2046,31925.961,6.3062908456822235
AUS,0.00019884336607411883,2047,32149.252999999997,6.392665683288462
AUS,0.00020016679192207373,2048,32371.842999999997,6.479767961915038
AUS,0.0002014934180648647,2049,32593.517999999996,6.567379348578692
AUS,0.00020282074918026517,2050,32814.106,6.655381562600635
BD,0.0022149304367231905,2019,433.296,0.9597204985104115
BD,0.0021769240710970005,2020,437.483,0.952367273395729
BD,0.0021366225689728137,2021,441.532,0.9433872361237043
BD,0.002097851356778692,2022,445.42900000000003,0.9344438319985761
BD,0.0020604107125809447,2023,449.16900000000004,0.9254726193592704
BD,0.002024216862011066,2024,452.767,0.9164985959621643
BD,0.001988639904164611,2025,456.18199999999996,0.9071817287616206
BD,0.0019542101928223645,2026,459.465,0.8978911862451276
BD,0.0019203475783840002,2027,462.584,0.8883220641991844
BD,0.0018875443084843567,2028,465.548,0.8787424777262752
BD,0.0018547792555911862,2029,468.352,0.8686895739146432
BD,0.0018230268674498773,2030,470.98699999999997,0.8586219552196153
BD,0.0017922456017915869,2031,473.462,0.8485601871154482
BD,0.0017614953157135966,2032,475.784,0.8380912872914779
BD,0.0017316790185984503,2033,477.936,0.8276317434328689
BD,0.0017023310390037066,2034,479.92699999999996,0.8169946285559319
BD,0.0016730282646951304,2035,481.782,0.8060349034213493
BD,0.0016450270436591916,2036,483.48199999999997,0.7953409651224332
BD,0.0016170545182811913,2037,485.029,0.784318335947408
BD,0.0015895292050998626,2038,486.435,0.7732026388827516
