,Country Name,Country Code,Year,Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Agriculture, forestry, and fishing, value added (constant LCU)","Agriculture, forestry, and fishing, value added (current LCU)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)","Air transport, freight (million ton-km)","Air transport, passengers carried","Air transport, registered carrier departures worldwide",Consumer price index (2010 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),GDP (constant 2010 US$),GDP (constant LCU),GDP (current LCU),GDP (current US$),"GDP, PPP (constant 2011 international $)","GDP, PPP (current international $)",Gross value added at basic prices (GVA) (constant 2010 US$),Gross value added at basic prices (GVA) (constant LCU),Gross value added at basic prices (GVA) (current LCU),Gross value added at basic prices (GVA) (current US$),Households and NPISHs Final consumption expenditure (annual % growth),Households and NPISHs Final consumption expenditure (constant 2010 US$),Households and NPISHs Final consumption expenditure (constant LCU),Households and NPISHs Final consumption expenditure (current LCU),Households and NPISHs Final consumption expenditure (current US$),Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)","Households and NPISHs Final consumption expenditure, PPP (current international $)",Households and NPISHs final consumption expenditure (% of GDP),"Industry (including construction), value added (constant 2010 US$)","Industry (including construction), value added (constant LCU)","Industry (including construction), value added (current LCU)","Industry (including construction), value added (current US$)","Manufacturing, value added (constant 2010 US$)","Manufacturing, value added (constant LCU)","Manufacturing, value added (current LCU)","Manufacturing, value added (current US$)","Official exchange rate (LCU per US$, period average)","Population, total",Pump price for diesel fuel (US$ per liter),Pump price for gasoline (US$ per liter),Rail lines (total route-km),"Railways, goods transported (million ton-km)","Railways, passengers carried (million passenger-km)",Rural population,"Services, value added (constant 2010 US$)","Services, value added (constant LCU)","Services, value added (current LCU)","Services, value added (current US$)","Services, value added per worker (constant 2010 US$)",Urban population,Wholesale price index (2010 = 100)
1,Australia,AUS,1991,100,100,100,24475000000,13190000000,10352405620,36042.74274,1222.599976,21860100,283600,61.6805411,5.461999893,23.82500076,70.71299744,4.41774E+11,5.66461E+11,3.1248E+11,2.45255E+11,6.10208E+11,7.50538E+11,4.14539E+11,3.25358E+11,4.87163E+11,3.07464E+11,5.66829E+11,6.93463E+11,3.81558E+11,2.99473E+11,0.967460989,3.26135E+11,4.17349E+11,2.37048E+11,1.86051E+11,18869.19496,2.4731E+11,1.70599E+11,57.18352194,1.71576E+11,1.92442E+11,1.14958E+11,90226826780,70716652316,83833000000,52226000000,40990503100,1.283755833,17284000,..,..,..,22869,..,2522945,3.7766E+11,4.78598E+11,2.53411E+11,1.98894E+11,69143.71522,14761055,101.6672408
2,Australia,AUS,1992,100,100,100,23177000000,12899000000,9920018457,35468.79033,1361.5,23886600,324600,62.30489074,5.277999878,23.57600021,71.14600372,4.52321E+11,5.79984E+11,3.294E+11,2.53326E+11,6.12909E+11,7.5386E+11,4.22439E+11,3.24878E+11,4.89319E+11,3.18195E+11,5.65693E+11,6.92073E+11,3.87754E+11,2.98203E+11,2.335934673,3.33753E+11,4.27098E+11,2.48948E+11,1.91454E+11,19077.07745,2.53087E+11,1.80478E+11,58.93111195,1.67454E+11,1.87818E+11,1.13842E+11,87550565254,68618763485,81346000000,53276000000,40972083365,1.361648333,17495000,..,..,..,24719,..,2574389,3.87385E+11,4.90923E+11,2.61013E+11,2.00733E+11,70787.35104,14920611,105.077506
3,Australia,AUS,1993,100,100,100,24395000000,14471000000,10167931422,37038.18936,1525.800049,26929300,347700,63.3975026,5.30700016,23.60300064,71.09100342,4.61523E+11,5.91783E+11,3.42145E+11,2.40405E+11,6.37665E+11,7.84309E+11,4.43368E+11,3.11529E+11,5.09083E+11,3.37812E+11,5.85443E+11,7.16235E+11,4.10649E+11,2.88539E+11,1.86982847,3.39994E+11,4.35084E+11,2.58203E+11,1.81424E+11,19244.58524,2.5782E+11,1.87907E+11,58.23672435,1.71995E+11,1.92911E+11,1.19287E+11,83816048342,70084839395,83084000000,57224000000,40207982012,1.47056,17667000,..,..,..,24614,..,2622313,3.98664E+11,5.05216E+11,2.76893E+11,1.94557E+11,72726.84334,15044687,109.8863245
4,Australia,AUS,1994,100,100,100,25405000000,15599000000,10791421653,39003.73821,1645.5,26888500,405600,64.64620187,5.081999779,23.46500015,71.45200348,4.70235E+11,6.02955E+11,3.54212E+11,2.45045E+11,6.63035E+11,8.15513E+11,4.65742E+11,3.22201E+11,5.29337E+11,3.5834E+11,6.09892E+11,7.46146E+11,4.31388E+11,2.98435E+11,2.148320784,3.47298E+11,4.44431E+11,2.68644E+11,1.85848E+11,19451.03619,2.63358E+11,1.96434E+11,57.68086194,1.79155E+11,2.00942E+11,1.25101E+11,86545140090,73211005863,86790000000,61661000000,42657212037,1.367750833,17855000,..,..,..,25175,..,2673251,4.18309E+11,5.30112E+11,2.90687E+11,2.01098E+11,73520.61983,15181749,107.8057182
5,Australia,AUS,1995,100,100,100,21683000000,14944000000,11095931096,32998.8509,1737.5,28831400,396100,67.63787721,4.941999912,22.85899925,72.1989975,4.89839E+11,6.28092E+11,3.75479E+11,2.78793E+11,6.88425E+11,8.46742E+11,4.94567E+11,3.67216E+11,5.49607E+11,3.77527E+11,6.33485E+11,7.7501E+11,4.54306E+11,3.37323E+11,4.422958795,3.62659E+11,4.64088E+11,2.86336E+11,2.12605E+11,20067.45848,2.75007E+11,2.07945E+11,57.89630121,1.86127E+11,2.08762E+11,1.31111E+11,97350014850,74765653677,88633000000,65075000000,48318235818,1.3490325,18072000,..,..,..,26604,..,2729233,4.42739E+11,5.61071E+11,3.08251E+11,2.28877E+11,74234.03971,15342767,100
6,Australia,AUS,1996,100,100,100,26268000000,17897000000,13578907436,38959.11822,1833.699951,30075100,371200,69.40686785,5.001999855,22.45999908,72.53800201,5.0743E+11,6.50647E+11,3.98879E+11,3.0264E+11,7.15126E+11,8.79584E+11,5.27599E+11,4.00303E+11,5.70924E+11,4.02156E+11,6.58981E+11,8.06202E+11,4.84462E+11,3.67574E+11,3.404311251,3.75005E+11,4.79887E+11,3.04148E+11,2.30765E+11,20479.7747,2.84369E+11,2.21367E+11,57.64756946,1.92057E+11,2.15413E+11,1.37463E+11,1.04297E+11,76505880720,90696000000,67407000000,51143399090,1.277863333,18311000,..,..,..,26368,..,2789315,4.57025E+11,5.79175E+11,3.29102E+11,2.49698E+11,75232.28694,15521685,..
7,Australia,AUS,1997,100,100,100,28391000000,18010000000,14094537486,40988.11564,1953.800049,30953500,394500,69.56295525,5.092999935,22.15099907,72.75499725,5.21331E+11,6.68472E+11,4.15405E+11,3.25094E+11,7.43491E+11,9.14472E+11,5.55291E+11,4.34568E+11,5.9357E+11,4.24486E+11,6.86023E+11,8.39286E+11,5.1015E+11,3.99241E+11,2.971741264,3.86149E+11,4.94148E+11,3.17553E+11,2.48515E+11,20853.77423,2.92819E+11,2.31768E+11,57.18677234,1.95036E+11,2.18755E+11,1.40447E+11,1.09913E+11,77748418013,92169000000,68497000000,53605415558,1.34738,18517000,..,..,9458,28408,1093,2844952,4.78666E+11,6.066E+11,3.51693E+11,2.75233E+11,77861.85941,15672048,..
8,Australia,AUS,1998,100,100,100,28547000000,17872000000,12122363155,42273.57025,1904.400024,30185700,378200,70.16129032,4.875,21.79800034,73.32700348,5.46034E+11,7.00147E+11,4.4218E+11,2.99925E+11,7.77519E+11,9.56325E+11,5.88097E+11,3.98899E+11,6.20736E+11,4.52358E+11,7.15527E+11,8.75381E+11,5.41086E+11,3.67012E+11,4.949124554,4.0526E+11,5.18604E+11,3.38589E+11,2.29661E+11,21658.93587,3.07311E+11,2.4563E+11,57.57366557,2.05104E+11,2.30047E+11,1.49589E+11,1.01464E+11,80239397392,95122000000,73481000000,49841280608,1.591828333,18711000,0.45,0.46,..,30119,..,2899644,4.97951E+11,6.31039E+11,3.73625E+11,2.53425E+11,78905.92144,15811356,..
9,Australia,AUS,1999,100,100,100,31486000000,18985000000,11896854242,45339.10791,1693,31579700,384800,71.20187305,4.920000076,21.36599922,73.71399689,5.75389E+11,7.37787E+11,4.72409E+11,2.96033E+11,8.16535E+11,1.00431E+12,6.19801E+11,3.88395E+11,6.51885E+11,4.77891E+11,7.5191E+11,9.19892E+11,5.704E+11,3.57438E+11,5.731540829,4.28488E+11,5.48328E+11,3.61087E+11,2.26273E+11,22640.17814,3.24925E+11,2.62993E+11,58.25853782,2.1302E+11,2.38926E+11,1.53158E+11,95975686176,82345721642,97619000000,74283000000,46549066299,1.54995,18926000,..,..,..,31605,1155,2958134,5.23957E+11,6.63996E+11,3.98257E+11,2.49566E+11,81053.23481,15967866,..
10,Australia,AUS,2000,100,100,100,33601000000,20622000000,12951077058,47756.97266,1730.735,32577569,382514,74.37565036,4.856999874,21.61499977,73.52700043,5.98362E+11,7.67244E+11,5.012E+11,3.14765E+11,8.48733E+11,1.04392E+12,6.60859E+11,4.15034E+11,6.7759E+11,5.04049E+11,7.82248E+11,9.57008E+11,6.0849E+11,3.82145E+11,4.257852964,4.46732E+11,5.71675E+11,3.83899E+11,2.41097E+11,23324.40876,3.3876E+11,2.77314E+11,58.09090895,2.20577E+11,2.47402E+11,1.62899E+11,1.02304E+11,83437264926,98913000000,76653000000,48139797777,1.724826667,19153000,0.57,0.57,9499,34050,1265,3019470,5.45733E+11,6.91593E+11,4.24969E+11,2.6689E+11,82468.99043,16133530,..
