Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1222.300049,1222.599976,1361.5,1525.800049,1645.5,1737.5,1833.699951,1953.800049,1904.400024,1693,1730.735,1678.089,1544.717,1355.351,1898.071,2444.586,2569.506,2348.084,2212.439,2769.286,2938.314378,2846.598798,2731.69798,1984.693734,1925.772009,1907.051909,1868.732628,1982.586171
Australia,AUS,"Air transport, passengers carried",IS.AIR.PSGR,17553400,21860100,23886600,26929300,26888500,28831400,30075100,30953500,30185700,31579700,32577569,33477398,39021581,41386432,41596552,44657324,46951775,48728837,51488427,50026967,60640913,63360310.34,66355274,68197955,68123237.67,69779346,72446421,74257326
Australia,AUS,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,255900,283600,324600,347700,405600,396100,371200,394500,378200,384800,382514,388734,536867,529648,324939,342509,352909,353546,393363,403256,572906,593145.0025,622917,641451,664970,668961,682937,672349
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,5.461999893,5.277999878,5.30700016,5.081999779,4.941999912,5.001999855,5.092999935,4.875,4.920000076,4.856999874,4.754000187,4.381999969,3.913000107,3.737999916,3.579999924,3.431999922,3.345000029,3.306999922,3.233999968,3.230000019,2.819999933,2.799999952,2.615999937,2.802000046,2.644000053,2.631000042,2.58100009
Australia,AUS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,23.82500076,23.57600021,23.60300064,23.46500015,22.85899925,22.45999908,22.15099907,21.79800034,21.36599922,21.61499977,20.73999977,20.91500092,20.88299942,21.24099922,21.13400078,21.44300079,21.36000061,21.62400055,21.14100075,20.97699928,20.83600044,20.71899986,20.48900032,20.3409996,19.45400047,19.42099953,19.13899994
Australia,AUS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,70.71299744,71.14600372,71.09100342,71.45200348,72.1989975,72.53800201,72.75499725,73.32700348,73.71399689,73.52700043,74.5059967,74.70300293,75.20400238,75.02200317,75.28600311,75.125,75.29499817,75.06800079,75.625,75.79299927,76.34500122,76.48100281,76.89499664,76.85700226,77.90100098,77.94799805,78.27999878
Australia,AUS,Final consumption expenditure (constant 2010 US$),NE.CON.TOTL.KD,4.35248E+11,4.41774E+11,4.52321E+11,4.61523E+11,4.70235E+11,4.89839E+11,5.0743E+11,5.21331E+11,5.46034E+11,5.75389E+11,5.98362E+11,6.15321E+11,6.34362E+11,6.58357E+11,6.90596E+11,7.19863E+11,7.43064E+11,7.79566E+11,8.1444E+11,8.25948E+11,8.49784E+11,8.82484E+11,9.10148E+11,9.23024E+11,9.43471E+11,9.65968E+11,9.96221E+11,1.02218E+12
