Economy,Year,GDP
AUS,2019,72.82510180518581
BD,2019,3.78586420045704
CDA,2019,189.885030293473
CHL,2019,46.2847349653561
PRC,2019,6524.371944176831
HKC,2019,4.4000676846879
INA,2019,634.7284028867659
JPN,2019,1088.2287730143498
KOR,2019,566.028121485131
MAS,2019,195.26873206796202
MEX,2019,436.5777152030591
NZ,2019,20.598051453736698
PNG,2019,0.744153871332787
PE,2019,54.076332437209196
RP,2019,174.81541092274398
RUS,2019,488.17375707547995
SIN,2019,114.04222224550902
CT,2019,431.833339133033
THA,2019,345.26651829440993
USA,2019,2288.3892231444797
VN,2019,124.05980038411
AUS,2020,67.6303577850968
BD,2020,3.8096460416772397
CDA,2020,178.24849876853798
CHL,2020,43.9734398821857
PRC,2020,6568.86578558584
HKC,2020,4.15279489536362
INA,2020,635.003791014514
JPN,2020,1030.70991949419
KOR,2020,560.477742077932
MAS,2020,190.630762573378
MEX,2020,407.516568200483
NZ,2020,19.196401858265
PNG,2020,0.749124757804727
PE,2020,51.545242139176594
RP,2020,174.939347429863
RUS,2020,463.003108587427
SIN,2020,108.89332870711002
CT,2020,415.439122544979
THA,2020,320.01126875432595
USA,2020,2142.33985404314
VN,2020,127.50690036595799
AUS,2021,71.4226581972119
BD,2021,3.91683363834269
CDA,2021,185.877110982676
CHL,2021,46.0646842675207
PRC,2021,7136.48227048883
HKC,2021,4.277600340113599
INA,2021,683.952439057474
JPN,2021,1060.67319639822
KOR,2021,580.821021863358
MAS,2021,206.36034452256297
MEX,2021,419.48779087487503
NZ,2021,20.4155700758925
PNG,2021,0.78383695554724
PE,2021,54.225951160276495
RP,2021,187.24471975219103
RUS,2021,480.95221139361297
SIN,2021,110.980528207946
CT,2021,430.891307493288
THA,2021,337.294933869902
USA,2021,2232.01720925878
VN,2021,136.536772593574
AUS,2022,72.9834946009626
BD,2022,4.00149753954029
CDA,2022,188.886187604982
CHL,2022,46.985700837448704
PRC,2022,7429.726444650751
HKC,2022,4.345219093415711
INA,2022,712.248866149888
JPN,2022,1066.0812092312701
KOR,2022,600.2560164869288
MAS,2022,213.948029956732
MEX,2022,430.20489669325804
NZ,2022,21.090284572277803
PNG,2022,0.842751934745232
PE,2022,56.2223802189417
RP,2022,197.512494587392
RUS,2022,491.51903733387996
SIN,2022,113.74526901318899
CT,2022,442.13625214677603
THA,2022,347.56250489071397
USA,2022,2257.81750794202
VN,2022,143.47330373259697
AUS,2023,74.53847893619451
BD,2023,4.06654838558503
CDA,2023,192.01186168006998
CHL,2023,47.8806116715013
PRC,2023,7715.718978838209
HKC,2023,4.411356168963801
INA,2023,740.919377297806
