Economy,Year,Population
AUS,1990,16960.6
BD,1990,258.714
CDA,1990,27541.323
CHL,1990,13274.617
PRC,1990,1176883.681
HKC,1990,5727.94199999999
INA,1990,181413.398
JPN,1990,124505.243
KOR,1990,42918.416
MAS,1990,18029.824
MEX,1990,83943.135
NZ,1990,3398.175
PNG,1990,4615.843
PE,1990,22071.433
RP,1990,61895.169
RUS,1990,147531.562
SIN,1990,3012.968
CT,1990,20478.516
THA,1990,56558.196
USA,1990,252120.309
VN,1990,67988.855
AUS,1991,17189.235
BD,1991,266.208
CDA,1991,27888.813
CHL,1991,13495.255
PRC,1991,1192897.277
HKC,1991,5800.04
INA,1991,184591.897
JPN,1991,124929.764
KOR,1991,43373.148
MAS,1991,18519.941
MEX,1991,85512.621
NZ,1991,3446.171
PNG,1991,4725.543
PE,1991,22522.383
RP,1991,63454.785
RUS,1991,147995.584
SIN,1991,3101.144
CT,1991,20679.072
THA,1991,57232.471
USA,1991,254539.371
VN,1991,69436.9559999999
AUS,1992,17402.179
BD,1992,273.888
CDA,1992,28224.41
CHL,1992,13719.818
PRC,1992,1206711.243
HKC,1992,5864.745
INA,1992,187739.786
JPN,1992,125331.3
KOR,1992,43848.223
MAS,1992,19002.66
MEX,1992,87075.136
NZ,1992,3503.194
PNG,1992,4836.21599999999
PE,1992,22966.822
RP,1992,65020.124
RUS,1992,148268.576
SIN,1992,3199.642
CT,1992,20868.148
THA,1992,57811.025
USA,1992,256990.608
VN,1992,70883.488
AUS,1993,17603.211
BD,1993,281.684
CDA,1993,28547.964
CHL,1993,13944.934
PRC,1993,1218817.059
HKC,1993,5928.33599999999
INA,1993,190851.184
JPN,1993,125707.407
KOR,1993,44335.037
MAS,1993,19484.901
MEX,1993,88625.44
NZ,1993,3564.473
PNG,1993,4949.053
PE,1993,23408.135
RP,1993,66593.904
RUS,1993,148373.584
SIN,1993,3305.801
CT,1993,21044.7
THA,1993,58337.773
USA,1993,259532.13
VN,1993,72300.308
AUS,1994,17798.526
BD,1994,289.452
CDA,1994,28860.734
CHL,1994,14166.346
PRC,1994,1230020.02599999
HKC,1994,5999.619
INA,1994,193917.458
JPN,1994,126053.127
KOR,1994,44820.07
MAS,1994,19977.508
MEX,1994,90156.396
NZ,1994,3623.272
PNG,1994,5065.664
PE,1994,23851.405
RP,1994,68180.8459999999
RUS,1994,148349.443
SIN,1994,3415.70099999999
CT,1994,21207.424
THA,1994,58875.275
USA,1994,262241.204
VN,1994,73651.22
AUS,1995,17993.083
BD,1995,297.112
CDA,1995,29164.153
CHL,1995,14380.864
PRC,1995,1240920.539
HKC,1995,6084.234
INA,1995,196934.257
JPN,1995,126365.486
KOR,1995,45292.5209999999
MAS,1995,20487.604
MEX,1995,91663.29
NZ,1995,3674.94
PNG,1995,5187.063
PE,1995,24299.168
RP,1995,69784.087
RUS,1995,148227.471
SIN,1995,3525.964
CT,1995,21356.025
THA,1995,59467.272
USA,1995,265163.741
VN,1995,74910.462
AUS,1996,18189.274
BD,1996,304.62
CDA,1996,29457.82
CHL,1996,14587.367
PRC,1996,1251636.178
HKC,1996,6185.584
INA,1996,199901.231
JPN,1996,126644.099
KOR,1996,45751.023
MAS,1996,21017.619
MEX,1996,93147.045
NZ,1996,3717.352
PNG,1996,5314.258
PE,1996,24753.825
RP,1996,71401.743
RUS,1996,148020.851999999
SIN,1996,3638.177
CT,1996,21488.994
THA,1996,60130.19
USA,1996,268335.008
VN,1996,76068.739
AUS,1997,18387.205
BD,1997,311.962
CDA,1997,29742.378
CHL,1997,14786.227
PRC,1997,1261996.017
HKC,1997,6299.91199999999
INA,1997,202826.444
JPN,1997,126892.745
KOR,1997,46196.056
MAS,1997,21562.79
MEX,1997,94611.008
NZ,1997,3752.355
PNG,1997,5446.633
PE,1997,25210.957
RP,1997,73030.879
RUS,1997,147730.02
SIN,1997,3752.131
CT,1997,21608.3089999999
THA,1997,60846.588
USA,1997,271713.634
VN,1997,77133.212
AUS,1998,18587.027
BD,1998,319.135
CDA,1998,30022.078
CHL,1998,14977.736
PRC,1998,1271982.349
HKC,1998,6416.996
INA,1998,205724.597
JPN,1998,127117.436
KOR,1998,46620.698
MAS,1998,22114.647
MEX,1998,96056.313
NZ,1998,3783.976
PNG,1998,5581.767
PE,1998,25658.07
RP,1998,74672.009
RUS,1998,147360.613
SIN,1998,3860.72099999999
CT,1998,21721.513
THA,1998,61585.103
USA,1998,275175.309
VN,1998,78115.712
AUS,1999,18788.187
BD,1999,326.214
CDA,1999,30302.511
CHL,1999,15162.801
PRC,1999,1281514.833
HKC,1999,6522.46099999999
INA,1999,208615.171
JPN,1999,127326.063
KOR,1999,47016.952
MAS,1999,22661.293
MEX,1999,97484.823
NZ,1999,3818.128
PNG,1999,5716.166
PE,1999,26078.295
RP,1999,76325.927
RUS,1999,146915.915
SIN,1999,3954.741
CT,1999,21838.635
THA,1999,62298.569
USA,1999,278548.148
VN,1999,79035.871
AUS,2000,18991.434
BD,2000,333.166
CDA,2000,30588.379
CHL,2000,15342.35
PRC,2000,1290550.767
HKC,2000,6606.328
INA,2000,211513.822
JPN,2000,127524.168
KOR,2000,47379.237
MAS,2000,23194.252
MEX,2000,98899.845
NZ,2000,3858.992
PNG,2000,5847.59
PE,2000,26459.944
RP,2000,77991.757
RUS,2000,146404.89
SIN,2000,4028.872
CT,2000,21966.528
THA,2000,62952.639
USA,2000,281710.914
VN,2000,79910.411
AUS,2001,19194.676
BD,2001,340.037
CDA,2001,30880.072
CHL,2001,15516.112
PRC,2001,1299129.747
HKC,2001,6664.775
INA,2001,214427.419
JPN,2001,127713.824
KOR,2001,47706.226
MAS,2001,23709.115
MEX,2001,100298.152
NZ,2001,3907.941
PNG,2001,5974.627
PE,2001,26799.289
RP,2001,79672.869
RUS,2001,145830.726
SIN,2001,4077.15
CT,2001,22108.715
THA,2001,63539.19
USA,2001,284607.992
VN,2001,80742.5
AUS,2002,19401.366
BD,2002,346.777
CDA,2002,31178.26
CHL,2002,15684.413
PRC,2002,1307352.256
HKC,2002,6701.771
INA,2002,217357.79
JPN,2002,127893.075
KOR,2002,47999.551
MAS,2002,24208.391
MEX,2002,101684.764
NZ,2002,3963.202
PNG,2002,6098.621
PE,2002,27100.964
RP,2002,81365.26
RUS,2002,145215.707
SIN,2002,4104.407
CT,2002,22262.297
THA,2002,64069.093
USA,2002,287279.312
VN,2002,81534.406
AUS,2003,19624.163
BD,2003,353.295
CDA,2003,31488.046
CHL,2003,15849.649
PRC,2003,1315303.522
HKC,2003,6724.687
INA,2003,220309.473
JPN,2003,128058.368
KOR,2003,48260.901
MAS,2003,24698.821
MEX,2003,103081.02
NZ,2003,4022.074
PNG,2003,6223.378
PE,2003,27372.217
RP,2003,83051.97
RUS,2003,144610.876
SIN,2003,4129.227
CT,2003,22419.785
THA,2003,64549.867
USA,2003,289815.567
VN,2003,82301.65
AUS,2004,19879.654
BD,2004,359.434
CDA,2004,31815.49
CHL,2004,16014.972
PRC,2004,1323084.639
HKC,2004,6744.563
INA,2004,223285.666
JPN,2004,128204.183
KOR,2004,48493.434
MAS,2004,25190.647
MEX,2004,104514.934
NZ,2004,4080.421
PNG,2004,6354.24699999999
PE,2004,27624.226
RP,2004,84710.544
