economy,item,unit,item_code_new,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,5688.806,5493.0,5249.054400095365,5342.7388478514895,5433.542943561304,5522.412724613765,5610.200026857322,5696.947333766644,5777.732654410403,5858.633972796906,5890.290616629865,5919.699864455653,5946.399485837869,5978.023238101153,6007.627227592128,6034.964799415314,6060.389772966381,6083.756136109727,6109.995291753168,6134.588574591634,6157.470662906021,6178.324838186954,6197.132952002964,6219.371170315279,6240.854694122933,6261.553930009125,6281.61136865089,6301.263083359209,6316.9633329508115,6333.266719767988,6350.044082483633,6367.16750464099,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514,6384.523532787514
01_AUS,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,5688.806,5493.0,5249.054400095365,5341.542074349571,5429.891602703231,5514.990601911884,5597.633178797161,5677.805590725188,5750.554200004056,5821.888620519524,5842.791313097362,5860.0292898219395,5873.139844172346,5889.644142549065,5902.661964671638,5911.948076944031,5917.849405506211,5920.224771171096,5923.860395185198,5924.343954963228,5921.614906634067,5915.375333073715,5905.619817940742,5897.556028478482,5887.172976897596,5874.439619840237,5859.487084677547,5842.531130890655,5820.298407860882,5797.016360071789,5772.545673446237,5746.750702988767,5719.511561612362,5675.177430200686,5629.413165517665,5582.2187675633,5533.594236337592,5483.539571840537,5432.0547740721395,5379.139843032396,5324.79477872131,5269.019581138878,5211.8142502851015,5153.178786159981,5093.1131887635165,5031.617458095708,4968.691594156554,4904.335596946056,4838.549466464214,4771.333202711026,4702.686805686495,4632.61027539062,4561.1036118234
01_AUS,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,1819.387618530645,1822.1302407937476,1717.0089677597098,1740.9592447720338,1763.6735765266644,1785.2295992247014,1805.590547436308,1825.0722705479754,1846.2203546492221,1866.402321938283,1869.9737579224895,1872.5888795702379,1873.8950174642919,1879.3032402043555,1883.4487810480427,1886.7867644717198,1889.1997507532178,1890.908582544713,1891.5740354399375,1891.5270386697575,1890.6522777821194,1889.1629939546685,1886.728509014538,1885.2600691258078,1883.073410940794,1880.162978661056,1876.6271063946913,1872.4576001526018,1867.6462649827088,1862.1849049795278,1855.9655973445147,1848.8846798139894,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487,1840.843012308487
01_AUS,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,1819.387618530645,1822.1302407937476,1717.0089677597098,1740.6110529230793,1762.6153723807486,1783.0873237056317,1801.9793663414355,1819.5970537363314,1838.4662291596956,1855.9504689354287,1856.5099468654475,1855.7355796541058,1853.2821722721847,1854.496437433658,1854.0669800636933,1852.4472453583346,1849.5265559874001,1845.52677656364,1840.123221675971,1833.646311286463,1825.9919698819708,1817.374800184391,1807.4859116359273,1798.1610539321955,1787.7898963471898,1776.3779822389656,1764.0294800110098,1750.7478561426826,1736.5374971809226,1721.4037261630756,1705.26119084014,1688.031712670172,1669.6446121637975,1658.2313854874849,1646.4499902087107,1634.3004263274747,1621.7826938437768,1608.8967927576175,1595.6427230689962,1582.0204847779137,1568.0300778843691,1553.6715023883628,1538.944758289895,1523.8498455889653,1508.3867642855741,1492.555514379721,1476.3560958714063,1459.7885087606298,1442.8527530473918,1425.548828731692,1407.8767358135306,1389.8364742929073,1371.4280441698224
01_AUS,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,1580.0,1600.0,1475.3826966632316,1482.6457677186204,1488.6451590089598,1493.464646198274,1497.1348082051036,1499.7788631817352,1501.1060432904253,1501.3636726472857,1488.1498957296494,1474.0223652049756,1458.8283253425482,1454.9613380837934,1450.3071943801901,1445.020495294495,1439.0791731984748,1432.54619238062,1431.641759827008,1430.2783449113604,1428.4245404781823,1426.1222286692132,1423.2596619429473,1419.6650681694232,1415.6098581959652,1411.1067325921806,1406.1910199208637,1400.8725713606589,1394.8789464184806,1388.5228126559746,1381.7814400353013,1374.6182104073457,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875,1366.9993130772875
01_AUS,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,9454.790861212221,9595.516984513746,9164.852473654075,9365.560625992799,9563.834064273604,9760.83653211416,9957.50386691595,10154.260845972549,10345.341554931718,10537.506999419196,10641.8871110853,10743.647118610905,10841.759313430546,10960.67991150903,11076.677767303909,11190.005285173307,11300.881311157604,11409.33983448803,11509.305364063228,11606.88338701508,11701.87193191963,11794.062464633616,11882.95954093453,11963.366580187048,12041.885381413196,12118.53496540184,12193.57662862038,12267.277194036877,12334.78900817866,12402.106633477762,12469.01456807662,12535.21707550425,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453,12600.44030810453
01_AUS,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,9454.790861212221,9595.516984513746,9164.852473654075,9363.612589382592,9557.866231817497,9748.655008122081,9936.792258872765,10122.579552133115,10300.153103019775,10476.136558654578,10562.200660397493,10643.086581580706,10717.729586884901,10810.211697683835,10896.96974720717,10978.200865135546,11054.07006332192,11124.562712219207,11183.730133924606,11237.50593010671,11285.659751045112,11327.961116031296,11363.91186818651,11388.55074274222,11408.193205101707,11422.83411010805,11432.697446994467,11438.009255719982,11434.250732269553,11427.003401527207,11416.031225831684,11401.030634512625,11381.725721504657,11300.478082398,11216.609551707255,11130.120129432426,11041.009815573512,10949.278610130512,10854.926513103424,10757.953524492252,10658.359644296992,10556.144872517649,10451.309209154218,10343.852654206703,10233.775207675102,10121.076869559416,10005.757639859643,9887.817518575785,9767.256505707841,9644.07460125581,9518.271805219694,9389.848117599493,9258.803538395206
01_AUS,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,7157.824375,7229.40261875,6912.5892307287795,7084.514673642729,7263.642037888192,7449.2782152433065,7640.694640291318,7837.339795869337,8039.00107008328,8245.747126336175,8388.250547343781,8533.93812148618,8683.028148847856,8835.497434547387,8991.126884922938,9149.648294858833,9310.682446177809,9473.961669936634,9639.391755044837,9807.046580236267,9977.080921987821,10149.732681014088,10325.212990473781,10503.608809984345,10684.9430029233,10869.331844899698,11056.892764899829,11247.740839189039,11441.993458808673,11639.7938678949,11841.346151950696,12046.87279541363,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947,12256.590981680947
01_AUS,8th_machinery_production_projection,GVA millions USD,14_6_machinery,5424.943465,5479.19289965,5239.078777127927,5369.381751766538,5505.143091128278,5645.837485744548,5790.912752998205,5939.95089584547,6092.790774889095,6249.48443039439,6357.48833801127,6467.905527909916,6580.9014505896175,6696.458526557816,6814.4107038597895,6934.554708775293,7056.603130344688,7180.353101214953,7305.7332184271945,7432.799474966629,7561.669176538577,7692.522629037584,7825.519851121499,7960.726749829064,8098.160653404721,8237.909687593448,8380.062852289402,8524.707364250215,8671.932194611418,8821.845908671587,8974.603183642352,9130.372641360798,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541,9289.318885984541
01_AUS,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,69446.78438,69841.14726632205,60364.905372513414,63567.06464905971,64790.83386495485,66019.56577721985,67276.7353304077,68568.77382547891,69896.1389418138,71253.42093500661,72046.22769032921,72862.37091078701,73705.83137804086,74578.93110384849,75491.23498537,76445.29184186435,77442.99642442116,78485.25289667599,79572.23771976873,80694.00536672762,81847.52929110079,83029.18182158117,84236.04766341149,85466.91180581105,86730.50980895746,88026.70266875479,89355.52308274592,90716.95514711626,92110.5547422279,93525.04982906897,94958.02585063966,96407.38072060094,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422,97872.1546212422
