economy,item,unit,item_code_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
01_AUS,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,5249.0,7296.0,6404.0,4893.0,4688.0,4607.0,4925.0,5259.0,5327.894,5688.806
01_AUS,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,5249.0,7296.0,6404.0,4893.0,4688.0,4607.0,4925.0,5259.0,5327.894,5688.806
01_AUS,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,1993.0,1964.0,1930.0,1910.0,1885.0,1805.0,1839.0,1839.0,1815.0,1819.387618530645
01_AUS,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,1993.0,1964.0,1930.0,1910.0,1885.0,1805.0,1839.0,1839.0,1815.0,1819.387618530645
01_AUS,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,1943.0,1928.0,1945.0,1864.0,1778.0,1704.0,1646.0,1630.0,1450.0,1580.0
01_AUS,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,9200.0,8300.0,8600.0,8600.0,8400.0,9000.0,9000.0,9080.0,9304.987108694144,9454.790861212221
01_AUS,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,9200.0,8300.0,8600.0,8600.0,8400.0,9000.0,9000.0,9080.0,9304.987108694144,9454.790861212221
01_AUS,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,6695.700000000001,8591.7,10046.2,8871.4,7015.2,7035.5,5412.1,7494.569090999999,7385.603306,7157.824375
01_AUS,8th_machinery_production_projection,GVA millions USD,14_6_machinery,3846.6,4920.6,5990.4,5782.1,5191.1,5197.4,3264.4,5384.625454999999,5441.552893,5424.943465
01_AUS,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,32673.8,62295.6,68892.4,61462.6,70477.5,47942.1,36063.9,65264.05636,67726.26413,69446.78438
01_AUS,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,17362.9,20934.4,25156.5,25822.0,25205.1,23270.5,18863.3,25723.44545,26516.33653,26876.34551
01_AUS,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,3278000.0,3203000.0,3155000.0,3191000.0,3059000.0,3077000.0,3176000.0,3224000.0,3350156.892845706,3405670.596444638
01_AUS,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,3086.0,3377.8,3711.8,3601.2,3516.6,3443.7,3184.1,3613.618182,3622.802975,3565.397611
01_AUS,8th_construction_production_projection,GVA millions USD,14_11_construction,72662.7,90622.1,115216.5,123985.6,120735.5,116606.5,96505.6,132394.2727,138752.8919,144045.5359
01_AUS,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,2981.5,3238.5,3308.4,2803.9,2428.0,2384.1,1807.5,2577.023636,2481.470413,2267.991092
01_AUS,8th_nonspecified_production,index,14_13_nonspecified_industry,142.8774646058724,143.1731964351654,144.20425914066016,147.46010902899172,148.98878902058578,150.55189141774036,151.6924666924287,153.7736373440033,155.35323706073174,157.90730775338196
02_BD,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_BD,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,453.14,625.691,758.624,191.396,615.956,489.09551,643.7906800000001,652.9224626950355,660.5322816075652
02_BD,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,453.14,625.691,758.624,191.396,615.956,489.09551,643.7906800000001,652.9224626950355,660.5322816075652
02_BD,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
